query	service	action	params

播放DOA	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'doa', 'norm': 'doa', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Does It Feel	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'does it feel', 'norm': 'does it feel', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Doing It	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'doing it', 'norm': 'doing it', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Doing It Right	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'doing it right', 'norm': 'doing it right', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Doing Too Much	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'doing too much', 'norm': 'doing too much', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Domino	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'domino', 'norm': 'domino', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't", 'norm': "don't", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Give A Damn	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't give a damn", 'norm': "don't give a damn", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Let Me Down	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't let me down", 'norm': "don't let me down", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Let Me Fall	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't let me fall", 'norm': "don't let me fall", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Matter	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't matter", 'norm': "don't matter", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Mess With My Love	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't mess with my love", 'norm': "don't mess with my love", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Say Goodbye	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't say goodbye", 'norm': "don't say goodbye", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Say You Love Me	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't say you love me", 'norm': "don't say you love me", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Speak	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't speak", 'norm': "don't speak", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Don't Wanna Know	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "don't wanna know", 'norm': "don't wanna know", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Doom Doom	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'doom doom', 'norm': 'doom doom', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dope	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dope', 'norm': 'dope', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Down	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'down', 'norm': 'down', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dr Bieber	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dr bieber', 'norm': 'dr bieber', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Drag Me Down	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'drag me down', 'norm': 'drag me down', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dragon	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dragon', 'norm': 'dragon', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dragon Rider	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dragon rider', 'norm': 'dragon rider', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dramatic Slow Motion	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dramatic slow motion', 'norm': 'dramatic slow motion', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dream It Possible	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dream it possible', 'norm': 'dream it possible', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dream lantern	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dream lantern', 'norm': 'dream lantern', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dream Tonight	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dream tonight', 'norm': 'dream tonight', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Drenched	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'drenched', 'norm': 'drenched', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Drop That	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'drop that', 'norm': 'drop that', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Drunk In Love	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'drunk in love', 'norm': 'drunk in love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dust Clears	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dust clears', 'norm': 'dust clears', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dying For You	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dying for you', 'norm': 'dying for you', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Earned It	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'earned it', 'norm': 'earned it', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Easy	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'easy', 'norm': 'easy', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Elegy	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'elegy', 'norm': 'elegy', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Elevated	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'elevated', 'norm': 'elevated', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Emotion	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'emotion', 'norm': 'emotion', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Empire	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'empire', 'norm': 'empire', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Epic	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'epic', 'norm': 'epic', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Essential Mix Radio	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'essential mix radio', 'norm': 'essential mix radio', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Eternal Love	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'eternal love', 'norm': 'eternal love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Ever Lasting Love Song	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'ever lasting love song', 'norm': 'ever lasting love song', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Everglow	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'everglow', 'norm': 'everglow', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Every Time I Close My Eyes	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'every time i close my eyes', 'norm': 'every time i close my eyes', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Everybody	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'everybody', 'norm': 'everybody', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Everything Will Say Goodbye	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'everything will say goodbye', 'norm': 'everything will say goodbye', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Everything You Do	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'everything you do', 'norm': 'everything you do', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Everytime	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'everytime', 'norm': 'everytime', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Evil In The Night	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'evil in the night', 'norm': 'evil in the night', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Excuse Me	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'excuse me', 'norm': 'excuse me', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Explode	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'explode', 'norm': 'explode', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Extraordinary	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'extraordinary', 'norm': 'extraordinary', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放EXXXTASY	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'exxxtasy', 'norm': 'exxxtasy', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fade	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fade', 'norm': 'fade', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fade Into Darkness	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fade into darkness', 'norm': 'fade into darkness', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Faded	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'faded', 'norm': 'faded', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Faint	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'faint', 'norm': 'faint', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Faistrap	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'faistrap', 'norm': 'faistrap', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Faith Won't Fail	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "faith won't fail", 'norm': "faith won't fail", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fall Away	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fall away', 'norm': 'fall away', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fall to Light	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fall to light', 'norm': 'fall to light', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fallin For You	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fallin for you', 'norm': 'fallin for you', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Falling Fast	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'falling fast', 'norm': 'falling fast', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Falling In Deeper	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'falling in deeper', 'norm': 'falling in deeper', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fantastic Magic	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fantastic magic', 'norm': 'fantastic magic', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Far Away From Home	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'far away from home', 'norm': 'far away from home', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Favorite Nightmare	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'favorite nightmare', 'norm': 'favorite nightmare', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FEAR	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fear', 'norm': 'fear', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Febreze	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'febreze', 'norm': 'febreze', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Feel Awake	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'feel awake', 'norm': 'feel awake', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FEEL LOVE	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'feel love', 'norm': 'feel love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Feel Right	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'feel right', 'norm': 'feel right', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Feel so Close	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'feel so close', 'norm': 'feel so close', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Feel the Love	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'feel the love', 'norm': 'feel the love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Feels So Good	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'feels so good', 'norm': 'feels so good', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fighter	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fighter', 'norm': 'fighter', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Final Goodbye	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'final goodbye', 'norm': 'final goodbye', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Find You	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'find you', 'norm': 'find you', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FIRE	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fire', 'norm': 'fire', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fire Starter	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fire starter', 'norm': 'fire starter', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fireball	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fireball', 'norm': 'fireball', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fireflies	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fireflies', 'norm': 'fireflies', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FIRST LOVE	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'first love', 'norm': 'first love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Five Hundred Miles	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'five hundred miles', 'norm': 'five hundred miles', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fix It	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fix it', 'norm': 'fix it', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Flameheart	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'flameheart', 'norm': 'flameheart', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Flashlight	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'flashlight', 'norm': 'flashlight', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Floating	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'floating', 'norm': 'floating', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FLOW	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'flow', 'norm': 'flow', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放flower	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'flower', 'norm': 'flower', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fly	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fly', 'norm': 'fly', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Flying Without Wings	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'flying without wings', 'norm': 'flying without wings', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Focus	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'focus', 'norm': 'focus', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Follow Me	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'follow me', 'norm': 'follow me', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Fool Again	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fool again', 'norm': 'fool again', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Foolish	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'foolish', 'norm': 'foolish', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FOOLS	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fools', 'norm': 'fools', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Footprints On My Heart	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'footprints on my heart', 'norm': 'footprints on my heart', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Footsteps	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'footsteps', 'norm': 'footsteps', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放For A Better Day	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'for a better day', 'norm': 'for a better day', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放For him.	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'for him.', 'norm': 'for him.', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Force	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'force', 'norm': 'force', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Force Of Nature	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'force of nature', 'norm': 'force of nature', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Forever 21	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'forever 21', 'norm': 'forever 21', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Forever Young	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'forever young', 'norm': 'forever young', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FourFiveSeconds	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fourfiveseconds', 'norm': 'fourfiveseconds', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放fragile	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fragile', 'norm': 'fragile', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Freak	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'freak', 'norm': 'freak', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Freaks	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'freaks', 'norm': 'freaks', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Freaky Girl	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'freaky girl', 'norm': 'freaky girl', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Freal Luv	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'freal luv', 'norm': 'freal luv', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Free	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'free', 'norm': 'free', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Free Bird	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'free bird', 'norm': 'free bird', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Free Loop	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'free loop', 'norm': 'free loop', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Frenzy	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'frenzy', 'norm': 'frenzy', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Friday Night Bitch Fight	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'friday night bitch fight', 'norm': 'friday night bitch fight', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Friend, Please	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'friend please', 'norm': 'friend please', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Friends	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'friends', 'norm': 'friends', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Friendship to Last	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'friendship to last', 'norm': 'friendship to last', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Frontlines	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'frontlines', 'norm': 'frontlines', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Frosty the Snowman	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'frosty the snowman', 'norm': 'frosty the snowman', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Funky Vodka	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'funky vodka', 'norm': 'funky vodka', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放FXXK IT	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'fxxk it', 'norm': 'fxxk it', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Gala	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gala', 'norm': 'gala', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Galaxies	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'galaxies', 'norm': 'galaxies', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Game Time	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'game time', 'norm': 'game time', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Gangnam Style	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gangnam style', 'norm': 'gangnam style', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Gangsta Bop	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gangsta bop', 'norm': 'gangsta bop', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放GDFR	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gdfr', 'norm': 'gdfr', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放G-Dragon	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'g-dragon', 'norm': 'g-dragon', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Gee	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gee', 'norm': 'gee', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放GENIE	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'genie', 'norm': 'genie', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Gentleman	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gentleman', 'norm': 'gentleman', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get Down You're The One For Me	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "get down you're the one for me", 'norm': "get down you're the one for me", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get Ghost	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'get ghost', 'norm': 'get ghost', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get In Line	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'get in line', 'norm': 'get in line', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get In the Trunk	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'get in the trunk', 'norm': 'get in the trunk', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get It In	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'get it in', 'norm': 'get it in', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get The Party Started	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'get the party started', 'norm': 'get the party started', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Get Up	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'get up', 'norm': 'get up', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Ghost Town	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'ghost town', 'norm': 'ghost town', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Girl	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'girl', 'norm': 'girl', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Girl In Your Dreams	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'girl in your dreams', 'norm': 'girl in your dreams', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Girls Girls Girls	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'girls girls girls', 'norm': 'girls girls girls', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Girls On the Dance Floor	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'girls on the dance floor', 'norm': 'girls on the dance floor', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give A Little Love	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give a little love', 'norm': 'give a little love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give It A Go	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give it a go', 'norm': 'give it a go', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give It To Me	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give it to me', 'norm': 'give it to me', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give Me A Sign	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give me a sign', 'norm': 'give me a sign', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give Me Everything	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give me everything', 'norm': 'give me everything', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give Me Life	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give me life', 'norm': 'give me life', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Give You What You Like	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'give you what you like', 'norm': 'give you what you like', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Glass Ceiling	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'glass ceiling', 'norm': 'glass ceiling', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Go	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'go', 'norm': 'go', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放GO GO GO	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'go go go', 'norm': 'go go go', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放God Is A Girl	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'god is a girl', 'norm': 'god is a girl', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Gold	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gold', 'norm': 'gold', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

